"","game_number","win","avg","shots_made","shots_taken","clutch_perc","clutch_shots_made","clutch_shots_taken","non_clutch_perc","ot","ot_taken","ot_made","ot_avg"
"1",1,0,0.333333333333333,2,6,NA,0,0,0.333333333333333,0,0,0,NA
"7",2,1,0,0,3,NA,0,0,0,0,0,0,NA
"10",3,0,1,2,2,1,2,2,NA,0,0,0,NA
"12",4,1,0.25,1,4,NA,0,0,0.25,0,0,0,NA
"16",5,1,0.8,4,5,1,1,1,0.75,0,0,0,NA
"21",6,0,0.666666666666667,2,3,1,1,1,0.5,0,0,0,NA
"24",7,1,0.444444444444444,4,9,NA,0,0,0.444444444444444,0,0,0,NA
"33",8,0,0.2,1,5,0,0,2,0.333333333333333,0,0,0,NA
"38",9,0,0,0,4,NA,0,0,0,0,0,0,NA
"42",10,1,0,0,1,NA,0,0,0,0,0,0,NA
"43",11,0,0.5,2,4,0,0,1,0.666666666666667,1,1,0,0
"47",12,1,0.666666666666667,2,3,NA,0,0,0.666666666666667,0,0,0,NA
"50",13,1,0.666666666666667,6,9,NA,0,0,0.666666666666667,0,0,0,NA
"59",14,1,0.363636363636364,4,11,NA,0,0,0.363636363636364,0,0,0,NA
"70",15,1,0.2,1,5,0,0,1,0.25,0,0,0,NA
"75",16,1,0.6,3,5,0.5,1,2,0.666666666666667,0,0,0,NA
"80",17,1,0.4,4,10,0,0,1,0.444444444444444,0,0,0,NA
"90",18,1,0.444444444444444,4,9,0,0,1,0.5,0,0,0,NA
"99",19,0,0.222222222222222,2,9,NA,0,0,0.222222222222222,0,0,0,NA
"108",20,1,0.4,2,5,NA,0,0,0.4,0,0,0,NA
"113",21,1,0,0,3,NA,0,0,0,0,0,0,NA
"116",22,1,0.375,3,8,NA,0,0,0.375,0,0,0,NA
"124",23,0,0,0,2,0,0,1,0,0,0,0,NA
"126",24,0,0,0,1,0,0,1,NA,0,0,0,NA
"127",25,0,0.428571428571429,3,7,0,0,1,0.5,0,0,0,NA
"134",26,0,0.285714285714286,2,7,1,1,1,0.166666666666667,0,0,0,NA
"141",27,1,0.666666666666667,4,6,NA,0,0,0.666666666666667,0,0,0,NA
"147",28,0,0.461538461538462,6,13,1,1,1,0.416666666666667,0,0,0,NA
"160",29,1,0.125,1,8,NA,0,0,0.125,0,0,0,NA
"168",30,0,0.5,3,6,NA,0,0,0.5,0,0,0,NA
"174",31,1,0.428571428571429,6,14,0.666666666666667,2,3,0.363636363636364,1,3,2,0.666666666666667
"188",32,1,0.285714285714286,2,7,NA,0,0,0.285714285714286,0,0,0,NA
"195",33,1,0.888888888888889,8,9,NA,0,0,0.888888888888889,0,0,0,NA
"204",34,0,0,0,7,NA,0,0,0,0,0,0,NA
"211",35,1,0.75,3,4,NA,0,0,0.75,0,0,0,NA
"215",36,1,0.5,1,2,0,0,1,1,0,0,0,NA
"217",37,0,0.545454545454545,6,11,1,2,2,0.444444444444444,0,0,0,NA
"228",38,0,0.142857142857143,1,7,0,0,1,0.166666666666667,0,0,0,NA
"235",39,1,0.4,2,5,NA,0,0,0.4,0,0,0,NA
"240",40,0,0.166666666666667,1,6,0,0,1,0.2,0,0,0,NA
"246",41,0,0.363636363636364,4,11,0.2,1,5,0.5,1,5,1,0.2
"257",42,1,0.384615384615385,5,13,1,1,1,0.333333333333333,0,0,0,NA
"270",43,1,0.6875,11,16,NA,0,0,0.6875,0,0,0,NA
"286",44,1,0.25,2,8,NA,0,0,0.25,0,0,0,NA
"294",45,1,0.444444444444444,8,18,NA,0,0,0.444444444444444,0,0,0,NA
"312",46,0,0.6,6,10,1,1,1,0.555555555555556,0,0,0,NA
"322",47,1,0.5,2,4,NA,0,0,0.5,0,0,0,NA
"326",48,0,0.416666666666667,5,12,1,1,1,0.363636363636364,0,0,0,NA
"338",49,1,0.4,4,10,0,0,1,0.444444444444444,0,0,0,NA
"348",50,1,0.272727272727273,3,11,NA,0,0,0.272727272727273,0,0,0,NA
"359",51,1,0.4,4,10,NA,0,0,0.4,0,0,0,NA
"369",52,1,0.714285714285714,5,7,NA,0,0,0.714285714285714,0,0,0,NA
"376",53,0,0.333333333333333,4,12,0.5,1,2,0.3,0,0,0,NA
"388",54,0,0.142857142857143,1,7,NA,0,0,0.142857142857143,0,0,0,NA
"395",55,1,0.375,3,8,NA,0,0,0.375,0,0,0,NA
"403",56,1,0.833333333333333,5,6,NA,0,0,0.833333333333333,0,0,0,NA
"409",57,1,0.545454545454545,6,11,NA,0,0,0.545454545454545,0,0,0,NA
"420",58,1,0.5,6,12,NA,0,0,0.5,0,0,0,NA
"432",59,1,0.666666666666667,6,9,NA,0,0,0.666666666666667,0,0,0,NA
"441",60,1,0.4,4,10,1,1,1,0.333333333333333,0,0,0,NA
"451",61,0,0.4,4,10,0.333333333333333,1,3,0.428571428571429,1,3,1,0.333333333333333
"461",62,0,0.555555555555556,5,9,0,0,1,0.625,0,0,0,NA
