"","game_number","win","clutch_perc","clutch_shots_made","clutch_shots_taken"
"1",1,0,0.333333333333333,1,3
"7",2,1,0,0,1
"10",3,0,1,2,2
"16",5,1,1,3,3
"21",6,0,1,1,1
"24",7,1,0.333333333333333,1,3
"33",8,0,0,0,3
"38",9,0,0,0,1
"43",11,0,0,0,1
"50",13,1,0.666666666666667,2,3
"59",14,1,0.333333333333333,1,3
"70",15,1,0,0,2
"75",16,1,0.5,1,2
"80",17,1,0,0,3
"90",18,1,0,0,2
"99",19,0,0,0,1
"108",20,1,1,1,1
"116",22,1,0.5,1,2
"124",23,0,0,0,1
"126",24,0,0,0,1
"127",25,0,0,0,1
"134",26,0,0.5,1,2
"141",27,1,1,2,2
"147",28,0,0.666666666666667,2,3
"160",29,1,0.333333333333333,1,3
"174",31,1,0.5,1,2
"195",33,1,1,1,1
"204",34,0,0,0,2
"211",35,1,1,1,1
"215",36,1,0,0,1
"217",37,0,1,3,3
"228",38,0,0,0,2
"240",40,0,0.5,1,2
"246",41,0,0.2,1,5
"257",42,1,0.25,1,4
"270",43,1,0.6,3,5
"286",44,1,0.5,1,2
"294",45,1,0.5,1,2
"312",46,0,0.6,3,5
"326",48,0,0.666666666666667,2,3
"338",49,1,0.25,1,4
"348",50,1,0,0,1
"359",51,1,0.5,1,2
"369",52,1,1,1,1
"376",53,0,0.4,2,5
"388",54,0,0.2,1,5
"395",55,1,0.5,1,2
"403",56,1,1,2,2
"409",57,1,0.5,1,2
"420",58,1,0.333333333333333,1,3
"432",59,1,0.666666666666667,2,3
"441",60,1,0.25,1,4
"451",61,0,0.333333333333333,1,3
"461",62,0,0.666666666666667,2,3
"470",63,0,0.5,1,2
"477",64,0,0,0,1
"488",65,1,0,0,1
"493",66,1,0,0,3
"503",67,0,0.5,1,2
"512",68,1,0.5,2,4
"521",69,1,0.5,1,2
"529",70,1,0,0,2
"537",71,1,1,2,2
"546",72,0,0,0,1
"549",73,1,0.5,1,2
"557",74,1,0,0,1
"568",75,1,0.5,1,2
"578",76,1,0,0,1
"586",77,1,0,0,2
"593",78,1,1,1,1
"602",79,1,0,0,2
"607",80,1,0.333333333333333,2,6
"624",81,1,0,0,1
"629",82,1,0,0,1
"633",83,1,0.333333333333333,1,3
"646",84,0,0.5,1,2
"650",85,1,1,1,1
"651",86,1,0.5,2,4
"660",87,0,0.25,1,4
"679",88,1,0,0,2
"691",89,0,0.333333333333333,2,6
"709",90,0,0.666666666666667,2,3
"721",91,0,0,0,4
"763",95,1,0.666666666666667,2,3
"781",96,1,1,1,1
"798",98,1,0.5,1,2
"810",99,1,1,1,1
"818",100,0,0.5,1,2
"829",101,0,0.666666666666667,4,6
"842",102,0,0.428571428571429,3,7
"863",103,0,0.666666666666667,2,3
"876",104,1,0.75,3,4
"906",106,0,0,0,1
"920",107,1,0.666666666666667,2,3
"928",108,1,0.666666666666667,2,3
"939",109,0,0.666666666666667,2,3
"953",110,0,0.333333333333333,1,3
"968",111,1,0.75,3,4
"982",112,0,0.2,1,5
"996",113,0,0,0,4
"1010",114,1,0,0,2
"1019",115,1,0.5,1,2
"1033",116,0,0.2,1,5
"1048",117,1,0.6,3,5
"1067",118,0,0,0,1
"1077",119,1,1,1,1
"1087",120,1,0,0,2
"1099",121,0,0.75,3,4
"1115",122,1,0.666666666666667,2,3
"1125",123,1,0,0,4
"1144",124,1,0.666666666666667,4,6
"1162",125,1,0.2,1,5
"1179",126,1,0.5,2,4
"1193",127,1,0.5,1,2
"1214",128,1,0,0,1
"1229",129,1,0.666666666666667,2,3
"1239",130,1,0,0,2
"1255",131,0,0,0,3
"1267",132,1,0,0,3
"1283",133,1,0,0,1
"1293",134,0,1,4,4
"1309",135,0,0.5,2,4
"1323",136,1,0,0,1
"1330",137,1,0.25,1,4
"1341",138,1,0,0,2
"1353",139,1,0,0,1
"1368",140,1,0.333333333333333,1,3
"1378",141,1,0.571428571428571,4,7
"1397",142,1,0.25,1,4
"1410",143,1,1,1,1
"1422",144,1,0.333333333333333,1,3
"1440",145,1,0,0,3
"1455",146,0,0,0,4
"1481",148,1,0.4,2,5
"1501",149,1,0.666666666666667,2,3
"1527",151,1,0.333333333333333,1,3
"1543",152,1,0.25,1,4
"1555",153,1,0,0,1
"1564",154,1,0.5,2,4
"1583",155,0,0.333333333333333,2,6
"1601",156,1,0.6,3,5
"1621",157,0,0.333333333333333,2,6
"1644",158,0,0.6,3,5
"1678",160,1,0,0,2
"1700",162,1,0,0,2
"1715",163,0,0.25,1,4
"1730",164,0,0,0,2
"1750",166,1,0.666666666666667,4,6
"1768",167,1,0.333333333333333,1,3
"1778",168,1,0.8,4,5
"1797",169,1,0,0,1
"1806",170,1,0.333333333333333,1,3
"1818",171,1,0.666666666666667,2,3
"1829",172,0,0,0,3
"1842",173,1,0.571428571428571,4,7
"1867",174,1,0.5,2,4
"1883",175,1,0.285714285714286,2,7
"1904",176,1,0,0,5
"1925",177,1,0,0,2
"1945",178,0,0.4,2,5
"1959",179,0,1,2,2
"1980",180,0,0.5,3,6
"2008",181,1,0.5,1,2
"2023",182,1,0.8,4,5
"2039",183,0,0.333333333333333,2,6
"2057",184,1,0.25,1,4
"2074",185,1,0,0,4
"2088",186,0,0.333333333333333,1,3
"2107",187,1,0.25,1,4
"2127",188,0,0.166666666666667,1,6
"2144",189,1,0.333333333333333,2,6
"2167",190,0,0.333333333333333,1,3
"2181",191,1,0.6,3,5
"2196",192,0,0.333333333333333,2,6
"2217",193,1,0.5,1,2
"2237",194,1,0.25,1,4
"2260",195,1,0.428571428571429,3,7
"2284",196,1,0.5,4,8
"2305",197,0,0,0,1
"2317",198,1,0.666666666666667,2,3
"2328",199,0,0.333333333333333,1,3
"2349",200,1,0,0,2
