game_date,action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,matchup,opponent,shot_id,win.loss
1/1/10,Jump Shot,Jump Shot,53,20900476,33.9663,70,78,-118.1998,6,1,0,2009-10,38,10,0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,LAL vs. SAC,SAC,15588,1
1/1/10,Jump Shot,Jump Shot,520,20900476,33.9533,-235,91,-118.5048,0,4,0,2009-10,0,25,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,LAL vs. SAC,SAC,15612,1
1/1/10,Jump Shot,Jump Shot,321,20900476,33.7833,-45,261,-118.3148,3,3,0,2009-10,56,26,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,LAL vs. SAC,SAC,15602,1
1/1/10,Jump Shot,Jump Shot,323,20900476,33.9673,34,77,-118.2358,3,3,0,2009-10,25,8,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,LAL vs. SAC,SAC,15603,1
1/1/10,Jump Shot,Jump Shot,432,20900476,33.9123,64,132,-118.2058,6,4,0,2009-10,31,14,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,LAL vs. SAC,SAC,15608,1
1/1/10,Jump Shot,Jump Shot,188,20900476,33.9563,-59,88,-118.3288,3,2,0,2009-10,51,10,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,LAL vs. SAC,SAC,15596,1
1/1/10,Jump Shot,Jump Shot,3,20900476,33.8853,88,159,-118.1818,11,1,0,2009-10,48,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,LAL vs. SAC,SAC,15586,1
1/1/10,Running Jump Shot,Jump Shot,336,20900476,33.8913,116,153,-118.1538,2,3,0,2009-10,26,19,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,LAL vs. SAC,SAC,15604,1
1/1/10,Fadeaway Jump Shot,Jump Shot,317,20900476,33.8573,31,187,-118.2388,5,3,0,2009-10,10,18,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,LAL vs. SAC,SAC,15601,1
1/1/10,Running Finger Roll Layup Shot,Layup,367,20900476,34.0443,0,0,-118.2698,0,3,0,2009-10,2,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,LAL vs. SAC,SAC,15606,1
1/1/10,Layup Shot,Layup,132,20900476,34.0443,0,0,-118.2698,7,2,0,2009-10,39,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,LAL vs. SAC,SAC,15592,1
1/1/10,Jump Shot,Jump Shot,102,20900476,33.9553,-5,89,-118.2748,0,1,0,2009-10,37,8,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,LAL vs. SAC,SAC,15590,1
1/1/10,Jump Shot,Jump Shot,467,20900476,33.8363,-160,208,-118.4298,2,4,0,2009-10,28,26,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,LAL vs. SAC,SAC,15611,1
