year,year-href,date,win/loss
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,4/4/18,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,2/27/18,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,1/18/18,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,10/30/17,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,7/20/17,W
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,6/12/17,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,5/9/17,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,4/4/17,W
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,12/26/16,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,7/14/16,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,4/13/16,W
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,4/11/16,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,4/10/16,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,4/8/16,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,4/6/16,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,3/30/16,W
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,3/28/16,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,3/25/16,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,3/23/16,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,3/16/16,W
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,3/15/16,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,3/8/16,W
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,3/6/16,W
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,3/4/16,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,3/1/16,W
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,2/26/16,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,2/21/16,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,2/10/16,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,2/8/16,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,2/6/16,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,2/4/16,W
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,1/31/16,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,1/26/16,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,1/22/16,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,1/20/16,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,1/8/16,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,1/3/16,W
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,12/30/15,W
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,12/27/15,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,12/26/15,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,12/23/15,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,12/22/15,W
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,12/15/15,W
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,12/11/15,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,12/9/15,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,12/7/15,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,12/4/15,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,12/1/15,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,11/29/15,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,11/28/15,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,11/21/15,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,11/15/15,W
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,11/11/15,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,11/6/15,W
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,11/3/15,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,11/1/15,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,10/30/15,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,10/28/15,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,10/21/15,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,9/22/15,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,6/16/15,W
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,10/31/14,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,10/17/14,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,10/12/14,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,4/6/14,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,2/7/14,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,8/22/13,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,8/18/13,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,6/3/13,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,2/22/13,W
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,1/3/13,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,12/12/12,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,10/31/12,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,4/23/12,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,4/18/12,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,4/7/12,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,3/14/12,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,2/27/12,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,1/26/12,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,11/16/11,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,6/27/11,L
2016,http://www.landofbasketball.com/results_by_team/2015_2016_lakers.htm,3/13/11,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,1/22/18,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,11/25/17,L
2015,http://www.landofbasketball.com/results_by_team/2014_2015_lakers.htm,9/24/17,L
